일시,광역자치단체,최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),환자수,연도,월
2021-07-12 00:00:00,대구광역시,34.05,33.75,26.8,21.5,77.8,3,2021,7
2021-07-12 00:00:00,인천광역시,31.7,30.5,26.7,24.3,74.1,2,2021,7
2021-07-12 00:00:00,광주광역시,34.7,32.4,28.1,24.9,87.5,0,2021,7
2021-07-12 00:00:00,대전광역시,34.7,33.3,28.7,24.4,84,1,2021,7
2021-07-12 00:00:00,울산광역시,34.1,32.7,27.6,23.3,83.1,2,2021,7
2021-07-12 00:00:00,세종특별자치시,34,33.5,27.3,22.9,76.9,0,2021,7
2021-07-12 00:00:00,경기도,33.25,32.26,26.6,22.27,82.28,4,2021,7
2021-07-12 00:00:00,강원도,32.66,31.68,26.13,21.88,80.32,0,2021,7
2021-07-12 00:00:00,충청북도,33.45,32.56,26.26,20.97,82.15,2,2021,7
2021-07-12 00:00:00,충청남도,34.03,32.69,27.16,23.37,85.43,4,2021,7
2021-07-12 00:00:00,전라북도,34.01,32.86,27.56,23.82,81.77,5,2021,7
2021-07-12 00:00:00,전라남도,33.18,31.37,27.54,24.58,83.85,5,2021,7
2021-07-12 00:00:00,경상북도,33.6,32.74,26.39,21.44,79.82,4,2021,7
2021-07-12 00:00:00,경상남도,34.14,32.59,27.23,23.93,83.36,5,2021,7
2021-07-12 00:00:00,제주특별자치도,33.5,32.4,29,26.1,76,0,2021,7
2021-07-13 00:00:00,서울특별시,32.9,31.5,28.8,26.3,76.1,0,2021,7
2021-07-13 00:00:00,부산광역시,31.9,29.5,27,25.1,85.9,0,2021,7
2021-07-13 00:00:00,대구광역시,34.15,34.2,28.25,22.3,72.4,2,2021,7
2021-07-13 00:00:00,인천광역시,30.7,29.8,28,26,65.1,1,2021,7
2021-07-13 00:00:00,광주광역시,33.8,32.3,28.4,25.5,81.5,4,2021,7
2021-07-13 00:00:00,대전광역시,35.1,34.2,29.8,25.4,77,0,2021,7
2021-07-13 00:00:00,울산광역시,34.1,32.7,28.1,24.3,81.9,5,2021,7
2021-07-13 00:00:00,세종특별자치시,33.5,32.8,28.3,24.3,73.4,1,2021,7
2021-07-13 00:00:00,경기도,33.37,32.23,27.71,23.86,80.06,13,2021,7
2021-07-13 00:00:00,강원도,33.33,32.26,26.68,22.27,81.99,1,2021,7
2021-07-13 00:00:00,충청북도,34.37,33.91,27.85,23.05,78.82,4,2021,7
2021-07-13 00:00:00,충청남도,33.41,32.41,27.55,23.41,80.61,0,2021,7
2021-07-13 00:00:00,전라북도,33.97,33.35,27.99,23.21,74.16,2,2021,7
2021-07-13 00:00:00,전라남도,33.55,32.13,27.8,24.46,81.67,5,2021,7
2021-07-13 00:00:00,경상북도,33.81,33,27.3,22.63,79.99,7,2021,7
2021-07-13 00:00:00,경상남도,33.51,31.78,27.5,24.06,83.56,4,2021,7
2021-07-13 00:00:00,제주특별자치도,33.4,32.4,29,26.5,72.5,8,2021,7
2021-07-14 00:00:00,서울특별시,34.4,33.5,29.7,26.1,71.4,4,2021,7
2021-07-14 00:00:00,부산광역시,32.4,30,27.5,25.2,84.6,1,2021,7
2021-07-14 00:00:00,대구광역시,34.3,35,29.25,23.6,69.75,0,2021,7
2021-07-14 00:00:00,인천광역시,31.8,31.5,28.6,26.5,62.6,2,2021,7
2021-07-14 00:00:00,광주광역시,33.4,31.4,28.2,26,84.8,1,2021,7
2021-07-14 00:00:00,대전광역시,34.4,33.2,29.5,25.1,77.9,0,2021,7
2021-07-14 00:00:00,울산광역시,34.6,32.6,28.3,24.1,82.9,3,2021,7
2021-07-14 00:00:00,세종특별자치시,33.3,32.5,28.2,24.1,73.5,0,2021,7
2021-07-14 00:00:00,경기도,33.94,33.18,28.33,23.91,77.05,8,2021,7
2021-07-14 00:00:00,강원도,33.44,32.62,27.21,23.29,80.99,7,2021,7
2021-07-14 00:00:00,충청북도,34.04,33.51,27.95,23.15,77.3,3,2021,7
2021-07-14 00:00:00,충청남도,33.59,32.26,27.77,23.72,79.83,2,2021,7
2021-07-14 00:00:00,전라북도,33.16,31.97,27.66,24.06,77.5,2,2021,7
2021-07-14 00:00:00,전라남도,32.97,31.06,27.53,24.94,83.73,3,2021,7
2021-07-14 00:00:00,경상북도,33.84,33.13,27.77,23.16,79.26,10,2021,7
2021-07-14 00:00:00,경상남도,34.14,32.5,27.94,24.31,82.49,7,2021,7
2021-07-14 00:00:00,제주특별자치도,32.8,30.9,29,27.2,75.3,2,2021,7
2021-07-15 00:00:00,서울특별시,35,34.5,29.1,25.9,71.1,5,2021,7
2021-07-15 00:00:00,부산광역시,32.3,30,27.3,25.5,83,2,2021,7
2021-07-15 00:00:00,대구광역시,34.25,33.85,26.5,23.1,79.95,0,2021,7
2021-07-15 00:00:00,인천광역시,31.5,31.2,28.5,26.2,64.4,4,2021,7
2021-07-15 00:00:00,광주광역시,34.4,33.4,28.7,24,78.4,2,2021,7
2021-07-15 00:00:00,대전광역시,35.7,35.3,29.3,25.4,76.8,0,2021,7
2021-07-15 00:00:00,울산광역시,33.2,31.1,26.8,24.3,88.9,0,2021,7
2021-07-15 00:00:00,세종특별자치시,34.2,34.5,28.4,24.3,70.6,0,2021,7
2021-07-15 00:00:00,경기도,34.63,34.3,27.55,23.4,78.01,19,2021,7
2021-07-15 00:00:00,강원도,33.62,32.52,26.21,22.84,84.82,1,2021,7
2021-07-15 00:00:00,충청북도,34.26,33.75,26.25,22.01,82.66,2,2021,7
2021-07-15 00:00:00,충청남도,34.12,33.57,27.85,23.19,77.23,6,2021,7
2021-07-15 00:00:00,전라북도,34.02,33.62,27.39,22.85,76.83,7,2021,7
2021-07-15 00:00:00,전라남도,33.64,32.45,27.51,23.36,81.06,2,2021,7
2021-07-15 00:00:00,경상북도,33.67,32.41,26.09,22.7,85.19,5,2021,7
2021-07-15 00:00:00,경상남도,33.64,32.28,27.11,23.64,84.06,2,2021,7
2021-07-15 00:00:00,제주특별자치도,33.9,32.3,29,26.5,75,2,2021,7
2021-07-16 00:00:00,서울특별시,35.2,35.2,28.8,24.2,68.4,1,2021,7
2021-07-16 00:00:00,부산광역시,32.3,30.4,27,25,79.4,1,2021,7
2021-07-16 00:00:00,대구광역시,32.95,32.55,26.7,22.55,74.95,0,2021,7
2021-07-16 00:00:00,인천광역시,33,33,27.9,24.1,66.1,2,2021,7
2021-07-16 00:00:00,광주광역시,33.9,32.7,25.9,22.8,92.5,0,2021,7
2021-07-16 00:00:00,대전광역시,35,34,28.4,24.1,79.8,0,2021,7
2021-07-16 00:00:00,울산광역시,31.5,29.4,26,22.9,87.1,0,2021,7
2021-07-16 00:00:00,세종특별자치시,33.8,33.6,27.1,22.9,71.6,0,2021,7
2021-07-16 00:00:00,경기도,34.61,34.38,27.2,22.09,75.65,12,2021,7
2021-07-16 00:00:00,강원도,33.38,32.59,26.08,21.77,80.56,1,2021,7
2021-07-16 00:00:00,충청북도,33.62,33.18,25.75,21.34,80.84,0,2021,7
2021-07-16 00:00:00,충청남도,34.26,33.49,26.83,22.23,80.43,3,2021,7
2021-07-16 00:00:00,전라북도,33.44,32.69,25.8,21.53,83.48,3,2021,7
2021-07-16 00:00:00,전라남도,33.77,32.6,26.37,22.2,84.07,2,2021,7
2021-07-16 00:00:00,경상북도,32.52,31.6,25.95,22.05,80.9,1,2021,7
2021-07-16 00:00:00,경상남도,33.43,32.23,26.12,22.73,83.76,3,2021,7
2021-07-16 00:00:00,제주특별자치도,32.8,31.9,28.5,26.4,74.3,1,2021,7
2021-07-17 00:00:00,서울특별시,33.2,32.8,29.1,24.7,63.1,2,2021,7
2021-07-17 00:00:00,부산광역시,30.2,28,25.5,23.2,80.4,0,2021,7
2021-07-17 00:00:00,대구광역시,30.95,30.2,26.1,22.55,74.25,0,2021,7
2021-07-17 00:00:00,인천광역시,31,31,27.4,24.7,61.6,0,2021,7
